n_trades,n_buys,avg_return_before_buy,buy_after_spike_ratio,avg_missed_return,avg_post_buy_return,loss_after_buy_ratio,investor_id,window_start,window_bin,fomo_label
1,1,-0.00020669381755822336,0.0,0.00012204370501815999,0.0002986194592689195,0.0,00024864C985E72167A0,2021-09-09,2021-09-08,0
4,4,,0.0,0.0008201740231142958,,0.0,0004718496C71D464F57,2018-01-02,2018-01-02,0
1,1,,0.0,-0.0006083085319722217,0.0,0.0,0004718496C71D464F57,2020-10-23,2020-10-23,0
1,1,0.01939393939393952,0.0,0.0028140359569180633,,0.0,0004718496C71D464F57,2021-01-04,2021-01-01,0
4,4,-0.029817890045182427,0.25,0.004285591786953645,-0.061833444057344575,1.0,0004718496C71D464F57,2021-01-07,2021-01-06,0
1,1,-0.15357311878845237,0.0,-0.006746267978293868,0.1741682974559686,0.0,0004718496C71D464F57,2021-02-11,2021-02-10,0
2,2,-0.28134228187919463,0.0,-0.005295658017047658,-0.09731124392977208,0.5,0004718496C71D464F57,2021-03-19,2021-03-17,0
3,0,,0.0,0.007933550302730897,,,0004718496C71D464F57,2021-04-08,2021-04-06,0
1,1,-0.04646840148698883,0.0,-4.866617399299556e-05,,0.0,0004718496C71D464F57,2021-04-19,2021-04-16,0
1,0,,0.0,-0.006985629817486804,,,0004718496C71D464F57,2021-04-27,2021-04-26,0
1,1,,0.0,-0.002262929696404766,-0.009145000000000039,1.0,0004718496C71D464F57,2021-07-16,2021-07-15,0
1,0,,0.0,0.0027376908979754593,,,0004718496C71D464F57,2021-08-03,2021-07-30,0
1,1,,0.0,0.0039056918231148495,-0.043689320388349585,1.0,0004718496C71D464F57,2021-08-12,2021-08-09,0
1,0,,0.0,-6.177406959064538e-05,,,0004718496C71D464F57,2021-09-10,2021-09-08,0
1,1,0.13829787234042534,1.0,0.007297467247443537,-0.026168224299065363,1.0,0004718496C71D464F57,2021-11-10,2021-11-07,0
1,1,,0.0,-0.00217354271804164,-0.00019599999999996953,1.0,0004718496C71D464F57,2021-11-12,2021-11-12,0
1,1,,0.0,-0.0025206626604693774,-0.012154000000000024,1.0,0004718496C71D464F57,2022-01-21,2022-01-21,0
2,2,-0.06325604838709686,0.0,0.002548477703466711,-0.0338983050847458,0.5,0004718496C71D464F57,2022-02-01,2022-01-31,0
4,0,,0.0,0.0014291361975339993,,,0004718496C71D464F57,2022-02-24,2022-02-20,0
1,1,-0.031044214487299993,0.0,0.0037462669723892436,0.02330097087378643,0.0,0004718496C71D464F57,2022-04-08,2022-04-06,0
2,0,,0.0,0.0030904715695059147,,,0004718496C71D464F57,2022-08-29,2022-08-29,0
1,1,-0.01666666666666672,0.0,0.0024601177130492637,0.0,0.0,0004718496C71D464F57,2022-10-14,2022-10-13,0
1,1,,0.0,0.0024450927449583626,,0.0,0004718496C71D464F57,2022-11-30,2022-11-27,0
1,1,0.0034002006018052366,0.0,0.0011915470483079282,,0.0,000676D07A4CF7526ECB,2022-11-22,2022-11-22,0
1,1,,0.0,-0.002262929696404766,-0.009145000000000039,1.0,000900E880281981624D,2021-07-16,2021-07-15,0
1,1,,0.0,-0.0004938983496774365,,0.0,00090203A8C62E135D0B,2018-01-02,2018-01-02,0
1,0,,0.0,-0.0004873294352336894,,,00090203A8C62E135D0B,2022-01-20,2022-01-16,0
2,2,,0.0,0.0037351278824067163,,0.0,001270E70A4ECA1CD664,2018-01-02,2018-01-02,0
2,0,,0.0,0.0037971993956158676,,,001270E70A4ECA1CD664,2020-02-03,2020-02-01,0
1,1,-0.42164438069680277,0.0,0.007737673421214943,,0.0,001270E70A4ECA1CD664,2020-03-09,2020-03-07,0
1,1,-0.11351351351351358,0.0,0.00015917680112610715,,0.0,001270E70A4ECA1CD664,2020-03-16,2020-03-12,0
1,0,,0.0,0.007357491594680611,,,001270E70A4ECA1CD664,2020-03-26,2020-03-22,0
1,0,,0.0,1.647399230352786e-05,,,001270E70A4ECA1CD664,2020-03-30,2020-03-27,0
2,2,0.17854897852278684,1.0,8.266384648709504e-05,0.07924892074269663,0.0,001270E70A4ECA1CD664,2020-11-12,2020-11-12,0
1,1,0.10330138445154402,1.0,0.00028212446657164126,,0.0,001270E70A4ECA1CD664,2020-11-17,2020-11-17,0
1,0,,0.0,0.000354032536481167,,,001270E70A4ECA1CD664,2022-10-25,2022-10-23,0
3,3,-0.30139894531983286,0.0,0.007089307810931873,-0.01641314023274786,0.6666666666666666,001387DFC77BD44899B2,2020-03-18,2020-03-17,0
1,1,,0.0,-0.001392460954287578,0.0028000000000000112,0.0,001387DFC77BD44899B2,2021-03-19,2021-03-17,0
1,1,,0.0,-0.002262929696404766,-0.009145000000000039,1.0,001387DFC77BD44899B2,2021-07-16,2021-07-15,0
1,1,,0.0,-0.00217354271804164,-0.00019599999999996953,1.0,001387DFC77BD44899B2,2021-11-12,2021-11-12,0
1,1,,0.0,-0.0025206626604693774,-0.012154000000000024,1.0,001387DFC77BD44899B2,2022-01-21,2022-01-21,0
1,1,,0.0,-5.2737356236294275e-05,0.0023709999999999808,0.0,001387DFC77BD44899B2,2022-07-08,2022-07-05,0
2,2,,0.0,0.010518687197124505,,0.0,0017D195DFD87A91C59D,2018-01-02,2018-01-02,0
2,0,,0.0,0.010565204547103427,,,0017D195DFD87A91C59D,2021-04-21,2021-04-21,0
3,3,,0.0,0.007965604985341102,,0.0,001A82FE1591AD3926C7,2018-01-02,2018-01-02,0
3,0,,0.0,0.007950196160880866,,,001A82FE1591AD3926C7,2022-05-24,2022-05-21,0
1,1,,0.0,0.0005280568508571374,,0.0,001D77E16FF29EC57F3E,2018-01-02,2018-01-02,0
1,0,,0.0,0.0005261150041105022,,,001D77E16FF29EC57F3E,2021-09-16,2021-09-13,0
2,2,,0.0,0.0012257236273289197,,0.0,001DBF6F6166CB131033,2018-01-02,2018-01-02,0
4,0,,0.0,0.0011959444312226117,,,001DBF6F6166CB131033,2021-08-30,2021-08-29,0
1,1,,0.0,-0.002262929696404766,-0.009145000000000039,1.0,002140974803B19E4F43,2021-07-16,2021-07-15,0
1,1,0.010718334535710472,0.0,0.0013007907805475721,-0.007826042622616486,1.0,00215BA74DB4920E04AF,2020-02-14,2020-02-11,0
1,1,0.007036230757269557,0.0,0.0013036855162224471,,0.0,00215BA74DB4920E04AF,2020-05-19,2020-05-16,0
2,0,,0.0,0.0013026128132316481,,,00215BA74DB4920E04AF,2021-06-15,2021-06-15,0
1,1,,0.0,0.003735842822565729,,0.0,0022380BB9D5062D4627,2018-01-02,2018-01-02,0
1,0,,0.0,0.003718792597730042,,,0022380BB9D5062D4627,2020-01-02,2020-01-02,0
1,1,-0.05681444991789819,0.0,0.019313180791475343,0.0027855153203342644,0.0,0022380BB9D5062D4627,2020-01-09,2020-01-07,0
1,1,0.04456824512534818,1.0,0.019233477414869016,0.009333333333333341,0.0,0022380BB9D5062D4627,2020-01-16,2020-01-12,1
2,2,,0.0,0.010088938752798843,,0.0,002443977993FF4A3219,2018-01-02,2018-01-02,0
2,0,,0.0,0.010116639583304393,,,002443977993FF4A3219,2021-09-20,2021-09-18,0
1,1,,0.0,0.0011432585607126528,,0.0,00257A17CD207724AE86,2018-01-02,2018-01-02,0
1,0,,0.0,0.0011894372605127386,,,00257A17CD207724AE86,2022-06-15,2022-06-15,0
2,2,,0.0,0.001655709752477198,,0.0,0025F4F5A591ECC76D2B,2018-01-02,2018-01-02,0
2,0,,0.0,0.0016460007614605078,,,0025F4F5A591ECC76D2B,2020-12-09,2020-12-07,0
2,2,,0.0,0.0015460920245217859,,0.0,002A1215764F03F4B554,2018-01-02,2018-01-02,0
3,0,,0.0,0.0015342681799694789,,,002A1215764F03F4B554,2019-01-28,2019-01-27,0
1,1,-0.15522388059701508,0.0,0.003843892496060403,0.08127208480565379,0.0,002D8901556066EA2453,2020-05-14,2020-05-11,0
1,0,,0.0,0.0034232211041837165,,,002D8901556066EA2453,2020-05-27,2020-05-26,0
1,1,-0.0038280067657793238,0.0,0.0009282347126988114,-0.0008936550491509292,1.0,002D8901556066EA2453,2021-11-04,2021-11-02,0
1,1,0.02801626751016717,1.0,0.0009031999058780988,-0.045714285714285756,1.0,002D8901556066EA2453,2021-11-19,2021-11-17,0
2,2,-0.06283128636069807,0.0,0.0010248222820680609,0.04752475247524757,0.0,002D8901556066EA2453,2021-11-23,2021-11-22,0
2,0,,0.0,0.0008611455297365131,,,002D8901556066EA2453,2022-02-10,2022-02-10,0
2,2,0.009695305997191817,0.5,0.004146929703651008,-0.014962542021491899,1.0,002D8901556066EA2453,2022-02-16,2022-02-15,0
1,1,-0.05072463768115931,0.0,0.000965103133229771,-0.14694656488549626,1.0,002D8901556066EA2453,2022-02-25,2022-02-25,0
1,1,-0.14185022026431726,0.0,0.0010367427421787943,,0.0,002D8901556066EA2453,2022-03-08,2022-03-07,0
1,1,0.06875934230194325,1.0,0.00030928016008547834,,0.0,002D8901556066EA2453,2022-03-22,2022-03-22,0
1,1,-0.007279947054930402,0.0,0.0009309485022343079,,0.0,002D8901556066EA2453,2022-05-23,2022-05-21,0
2,2,,0.0,0.0002729651954032565,,0.0,0030B344AA10500D927B,2018-01-02,2018-01-02,0
2,0,,0.0,0.0002768323652533193,,,0030B344AA10500D927B,2020-01-08,2020-01-07,0
2,2,0.05774822166107141,1.0,0.011449788698077204,0.024767325691450223,0.0,0030B344AA10500D927B,2020-01-15,2020-01-12,1
1,1,0.013100436681222849,0.0,0.0018277535352687257,,0.0,0030B344AA10500D927B,2020-01-27,2020-01-27,0
3,0,,0.0,0.00833041161148838,,,0030B344AA10500D927B,2020-03-03,2020-03-02,0
2,2,-0.28158468432617617,0.0,0.011995068279056359,-0.1270187690964644,0.5,0030B344AA10500D927B,2020-03-12,2020-03-12,0
1,1,-0.15163727959697737,0.0,0.003841072841186159,0.18764845605700722,0.0,0030B344AA10500D927B,2020-04-03,2020-04-01,0
1,1,0.15072202166064974,1.0,0.019150023188033088,-0.0389647058823529,1.0,0030B344AA10500D927B,2020-04-08,2020-04-06,1
2,0,,0.0,0.01157798495137845,,,0030B344AA10500D927B,2020-06-12,2020-06-10,0
3,0,,0.0,0.008212472123619365,,,0030B344AA10500D927B,2020-06-19,2020-06-15,0
3,3,0.013468234066439452,0.3333333333333333,0.00796339486539898,-0.007712082262210804,0.3333333333333333,0030B344AA10500D927B,2020-07-21,2020-07-20,0
4,0,,0.0,0.00642113595020547,,,0030B344AA10500D927B,2020-09-04,2020-09-03,0
2,2,0.03815710742025247,1.0,0.010066872582462793,,0.0,0030B344AA10500D927B,2020-09-14,2020-09-13,1
2,0,,0.0,0.009886030229301948,,,0030B344AA10500D927B,2020-11-11,2020-11-07,0
4,0,,0.0,0.009732746453459755,,,0030B344AA10500D927B,2020-11-12,2020-11-12,0
2,0,,0.0,0.010048058833674968,,,0030B344AA10500D927B,2020-11-23,2020-11-22,0
8,6,0.13184656698563949,1.0,0.009673847081545024,0.09827020261191304,0.0,0030B344AA10500D927B,2020-12-07,2020-12-07,0
2,0,,0.0,0.01004159157753171,,,0030B344AA10500D927B,2020-12-18,2020-12-17,0
3,2,-0.06499523410286351,0.0,0.005282142351726044,-0.02498215815015703,0.5,0030B344AA10500D927B,2021-01-07,2021-01-06,0
1,0,,0.0,0.009471084577041116,,,0030B344AA10500D927B,2021-01-19,2021-01-16,0
3,1,-0.07801418439716301,0.0,0.00522220675246666,,0.0,0030B344AA10500D927B,2021-01-22,2021-01-21,0
2,1,-0.19555061179087885,0.0,0.005250137378987808,0.04120575221238929,0.0,0030B344AA10500D927B,2021-01-26,2021-01-26,0
1,0,,0.0,0.009282462926155314,,,0030B344AA10500D927B,2021-02-19,2021-02-15,0
1,0,,0.0,0.0009175843752554297,,,0030B344AA10500D927B,2021-03-09,2021-03-07,0
1,0,,0.0,0.0009307061520023756,,,0030B344AA10500D927B,2021-03-18,2021-03-17,0
2,2,0.057715052036489856,1.0,0.00227816973982152,,0.0,0030B344AA10500D927B,2021-03-30,2021-03-27,0
1,0,,0.0,0.0007595967258593293,,,0030B344AA10500D927B,2021-04-12,2021-04-11,0
1,1,-0.04669260700389111,0.0,0.000961933297791667,,0.0,0030B344AA10500D927B,2021-04-20,2021-04-16,0
2,0,,0.0,0.002274138055861056,,,0030B344AA10500D927B,2021-04-27,2021-04-26,0
3,3,-0.09286600721840328,0.0,0.008044875120721405,,0.0,0030B344AA10500D927B,2021-07-20,2021-07-20,0
3,0,,0.0,0.007932691279276562,,,0030B344AA10500D927B,2021-08-05,2021-08-04,0
2,2,-0.0251465176502656,0.0,0.010116639583304393,,0.0,0030B344AA10500D927B,2021-09-20,2021-09-18,0
2,0,,0.0,0.010117836950294464,,,0030B344AA10500D927B,2021-11-16,2021-11-12,0
2,2,0.05449318715265128,1.0,0.011452347687470619,0.021238262280607597,0.0,0030B344AA10500D927B,2021-12-03,2021-12-02,1
2,0,,0.0,0.011501946209669513,,,0030B344AA10500D927B,2021-12-23,2021-12-22,0
3,3,-0.04087314070385717,0.0,0.0080040002256628,-0.1697004203393643,1.0,0030B344AA10500D927B,2022-02-25,2022-02-25,0
3,0,,0.0,0.007946709933900238,,,0030B344AA10500D927B,2022-11-23,2022-11-22,0
2,2,0.03532215212536172,0.5,-0.003197033773698049,-0.011207809372046398,0.5,0032881DD2BDE26E4201,2021-03-03,2021-03-02,0
2,1,-0.27318295739348375,0.0,-0.00653261101571374,,0.0,0032881DD2BDE26E4201,2021-04-13,2021-04-11,0
