tx_id,investor_id,timestamp,fomo_prob,lf_votes,all_abstain,lf_LF_trade_cluster,lf_LF_return_momentum,lf_LF_rsi_extreme,lf_LF_bollinger_breakout,lf_LF_value_spike
0,0004718496C71D464F57,2021-01-04,0.385764213843291,1,False,-1,-1,-1,-1,1
1,0004718496C71D464F57,2021-01-07,0.3434154759308599,0,True,-1,-1,-1,-1,-1
2,0004718496C71D464F57,2021-01-07,0.385764213843291,1,False,-1,-1,-1,-1,1
3,0004718496C71D464F57,2021-01-07,0.3434154759308599,0,True,-1,-1,-1,-1,-1
4,0004718496C71D464F57,2021-01-07,0.3434154759308599,0,True,-1,-1,-1,-1,-1
5,0004718496C71D464F57,2021-02-11,0.07045617244613926,0,False,-1,-1,0,-1,-1
6,0004718496C71D464F57,2021-03-19,0.07045617244613926,0,False,-1,-1,0,-1,-1
10,0004718496C71D464F57,2021-04-19,0.07045617244613926,0,False,-1,-1,0,-1,-1
13,0004718496C71D464F57,2021-08-12,0.3434154759308599,0,True,-1,-1,-1,-1,-1
15,0004718496C71D464F57,2021-11-10,0.9999999070023176,2,False,-1,1,-1,1,-1
16,0004718496C71D464F57,2022-02-01,0.07045617244613926,0,False,-1,-1,0,-1,-1
17,0004718496C71D464F57,2022-02-03,0.07045617244613926,0,False,-1,-1,0,-1,-1
22,0004718496C71D464F57,2022-04-08,0.3434154759308599,0,True,-1,-1,-1,-1,-1
25,0004718496C71D464F57,2022-10-14,0.07045617244613926,0,False,-1,-1,0,-1,-1
26,0004718496C71D464F57,2022-11-30,0.3434154759308599,0,True,-1,-1,-1,-1,-1
28,001270E70A4ECA1CD664,2020-11-12,0.9999999070023176,2,False,-1,1,-1,1,-1
29,001270E70A4ECA1CD664,2020-11-13,0.9726019740310166,1,False,-1,1,-1,-1,-1
30,001270E70A4ECA1CD664,2020-11-17,0.9726019740310166,1,False,-1,1,-1,-1,-1
40,002D8901556066EA2453,2021-11-04,0.3434154759308599,0,True,-1,-1,-1,-1,-1
41,002D8901556066EA2453,2021-11-19,0.9999936881585981,1,False,-1,-1,-1,1,-1
42,002D8901556066EA2453,2021-11-23,0.07045617244613926,0,False,-1,-1,0,-1,-1
43,002D8901556066EA2453,2021-11-26,0.07045617244613926,0,False,-1,-1,0,-1,-1
46,002D8901556066EA2453,2022-02-16,0.8372505236817231,1,False,-1,1,0,-1,-1
47,002D8901556066EA2453,2022-02-17,0.385764213843291,1,False,-1,-1,-1,-1,1
48,002D8901556066EA2453,2022-02-25,0.07045617244613926,0,False,-1,-1,0,-1,-1
49,002D8901556066EA2453,2022-03-08,0.07045617244613926,0,False,-1,-1,0,-1,-1
50,002D8901556066EA2453,2022-03-22,0.9726019740310166,1,False,-1,1,-1,-1,-1
51,002D8901556066EA2453,2022-05-23,0.07045617244613926,0,False,-1,-1,0,-1,-1
52,0030B344AA10500D927B,2020-07-21,0.8372505236817231,1,False,-1,1,0,-1,-1
53,0030B344AA10500D927B,2020-07-21,0.07045617244613926,0,False,-1,-1,0,-1,-1
54,0030B344AA10500D927B,2020-07-24,0.07045617244613926,0,False,-1,-1,0,-1,-1
59,0030B344AA10500D927B,2020-09-14,0.9999999070023176,2,False,-1,1,-1,1,-1
60,0030B344AA10500D927B,2020-09-14,0.3434154759308599,0,True,-1,-1,-1,-1,-1
69,0030B344AA10500D927B,2020-12-07,0.9999999999994525,3,False,-1,1,1,1,-1
70,0030B344AA10500D927B,2020-12-07,0.9999999999994525,3,False,-1,1,1,1,-1
73,0030B344AA10500D927B,2020-12-10,0.9726019740310166,1,False,-1,1,-1,-1,-1
